volume,abs_rms,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,ec_linear_x,ec_linear_y,ec_linear_z,subject,session,scan_id,condition
0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
1,0.2946935914,0.002041966134,-0.2765937151,0.05871892764,-0.001037050737,0.0003920882009,0.001467499533,-0.06369062648,-0.0391773886,-0.0122130879,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
2,0.2991376038,0.01660559631,-0.2819269112,0.02503505097,-0.002005729824,0.0005543288426,-0.0004063408414,0.05300712827,0.002044083162,-0.08529265688,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
3,1.091752196,0.02740805228,1.089627055,-0.01872744459,-0.0002056688099,0.001282779267,0.0006248779828,-0.003160814615,0.09934213098,0.02748618629,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
4,0.1725720049,0.04940235781,-0.1432940576,-0.05224240007,-0.0008189681685,0.001143190544,0.0001925600809,-0.1065486644,-0.05252989818,0.04446121081,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
5,1.234542708,0.0319975135,-1.231533995,-0.03326476134,-0.001077380846,0.001386080636,-0.0002581788867,0.0408201421,0.03016999797,-0.0009740331315,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
6,1.148797183,0.03139438526,-1.144237891,-0.007092434463,-0.0008983206935,0.001925891498,-0.0009388803737,-0.02456802221,0.112153339,-0.06606119174,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
7,0.6175791523,0.02668754087,0.6096469596,-0.04635874946,-0.000322362961,0.001506199362,0.001167670824,-0.07440818287,0.02551634067,0.0756069824,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
8,1.024627206,0.05293726494,-1.015994574,0.09430197967,-0.001478850609,0.001550877467,-0.0001407313684,-0.06768281679,0.00543529254,-0.07886268625,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
9,0.3827917125,0.01517329027,0.3571735516,0.09173527988,-0.001511720591,0.001749440213,0.0008659471059,0.01048174312,-0.03735514129,0.07634234443,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
10,1.233678907,0.031745393,-1.228869235,0.05535862271,-0.0008723064675,0.002035832033,-0.0005501801497,-0.04818897134,0.08704817939,-0.006709815694,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
11,0.4899924187,0.03307150197,-0.4557197158,0.1486284634,-0.0008383294335,0.00241958769,0.00031947557,0.01356420803,0.07331581218,-0.07657690846,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
12,1.258063492,0.0161177566,1.238430808,0.1784249682,-0.001662840368,0.002746715443,-0.0003433333477,-0.01133713577,0.00697316482,-0.05515360149,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
13,0.9758688151,0.01626857269,0.9571594197,0.1631355053,-0.0007580575184,0.002195701702,0.000814980478,0.0002124476554,0.06025686831,0.001517458228,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
14,0.3945430092,0.02542917247,0.3017835882,0.241420343,-0.001535891672,0.001676490298,-0.0001551290916,-0.0613236667,-0.02820189777,-0.08250389884,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
15,0.3532970393,-0.007544537922,0.2832395764,0.1947233784,-0.0007390390965,0.001761287451,-0.0009100801544,0.08159827236,0.03068060627,0.006475850232,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
16,0.926762149,-0.03111792826,-0.8906688802,0.2295159072,-0.0005949863116,0.002013997408,-0.001785891596,0.01183249315,0.1043420955,-0.08374023501,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
17,0.2861191145,-0.005930873183,-0.001363038022,0.2833657868,-0.0006858496927,0.001191373449,-0.0005356525071,0.02007164477,0.06610769032,-0.07855734659,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
